                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.58211,                0.37933,                0.92218,                0.93551,                0.93805,                0.97508,                0.77647,                0.51357,                0.31687,                0.86158,               0.004225,               0.004225,               0.004225
                     38,                0.57844,                 0.3759,                0.91897,                0.93763,                0.93743,                 0.9751,                 0.7765,                0.51274,                0.31655,                0.86099,                0.00406,                0.00406,                0.00406
                     39,                  0.579,                0.37433,                0.92078,                0.93632,                0.94001,                0.97514,                0.77749,                0.51032,                  0.314,                0.85989,               0.003895,               0.003895,               0.003895
                     40,                0.57639,                0.37414,                0.91871,                0.93537,                0.94099,                0.97526,                0.77786,                0.50977,                0.31309,                 0.8592,                0.00373,                0.00373,                0.00373
                     41,                 0.5726,                0.37121,                0.91732,                0.93759,                0.94006,                0.97589,                0.77924,                0.50798,                0.31167,                0.85841,               0.003565,               0.003565,               0.003565
                     42,                0.57095,                0.37006,                0.91767,                0.93798,                  0.941,                0.97656,                0.77982,                0.50592,                0.31001,                0.85795,                 0.0034,                 0.0034,                 0.0034
                     43,                0.56737,                0.36496,                 0.9157,                0.93722,                 0.9415,                0.97648,                0.78075,                0.50427,                0.30911,                0.85749,               0.003235,               0.003235,               0.003235
                     44,                0.56578,                0.36269,                0.91523,                0.93999,                0.94074,                  0.977,                0.78129,                0.50351,                0.30717,                0.85711,                0.00307,                0.00307,                0.00307
                     45,                0.56437,                0.36282,                0.91484,                0.93876,                0.94265,                0.97707,                0.78215,                0.50228,                0.30611,                0.85674,               0.002905,               0.002905,               0.002905
                     46,                0.56205,                0.36014,                0.91326,                0.93713,                0.94247,                0.97692,                0.78247,                0.50145,                0.30498,                0.85617,                0.00274,                0.00274,                0.00274
                     47,                0.55885,                0.35902,                 0.9129,                0.94161,                0.94139,                0.97732,                0.78306,                0.50059,                0.30331,                0.85575,               0.002575,               0.002575,               0.002575
                     48,                0.56078,                0.35729,                0.91332,                0.94281,                0.94045,                0.97789,                0.78366,                0.49944,                0.30165,                0.85527,                0.00241,                0.00241,                0.00241
                     49,                 0.5547,                0.35264,                0.91103,                 0.9422,                0.94283,                0.97807,                0.78416,                0.49822,                0.30046,                0.85482,               0.002245,               0.002245,               0.002245
                     50,                0.55053,                0.34958,                0.90914,                0.94101,                0.94369,                0.97822,                0.78484,                0.49747,                0.29952,                0.85426,                0.00208,                0.00208,                0.00208
                     51,                0.55895,                0.34376,                0.89045,                0.94133,                0.94395,                0.97833,                0.78498,                0.49764,                0.29914,                 0.8543,               0.001915,               0.001915,               0.001915
                     52,                0.55419,                0.33917,                0.89005,                0.94255,                0.94364,                0.97833,                0.78608,                0.49667,                0.29841,                0.85393,                0.00175,                0.00175,                0.00175
                     53,                0.55205,                0.33527,                0.88892,                0.94389,                0.94327,                0.97878,                 0.7868,                 0.4956,                0.29694,                 0.8535,               0.001585,               0.001585,               0.001585
                     54,                0.54923,                0.33233,                0.88687,                0.94344,                0.94492,                 0.9792,                0.78809,                0.49471,                0.29576,                 0.8531,                0.00142,                0.00142,                0.00142
                     55,                0.54512,                 0.3293,                0.88354,                0.94463,                0.94518,                0.97948,                0.78842,                0.49396,                0.29483,                0.85262,               0.001255,               0.001255,               0.001255
                     56,                 0.5417,                0.32394,                0.88442,                0.94562,                0.94568,                0.97978,                0.78937,                 0.4931,                0.29336,                0.85215,                0.00109,                0.00109,                0.00109
                     57,                0.53964,                0.32365,                0.88237,                0.94736,                0.94566,                0.98002,                0.79035,                0.49203,                0.29227,                0.85163,               0.000925,               0.000925,               0.000925
                     58,                0.53659,                0.31893,                0.88135,                0.94832,                0.94575,                0.98005,                0.79119,                0.49138,                0.29125,                0.85121,                0.00076,                0.00076,                0.00076
                     59,                0.53262,                0.31518,                 0.8799,                0.94869,                0.94618,                0.98023,                0.79173,                 0.4906,                0.29015,                0.85085,               0.000595,               0.000595,               0.000595
                     60,                0.53101,                0.31279,                 0.8786,                0.94861,                0.94735,                0.98028,                0.79252,                0.49004,                0.28936,                 0.8506,                0.00043,                0.00043,                0.00043
